Owner,Title,Web URL,Category
Backward Society Education (BASE),BASE Annual Report 2009,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2009.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2010,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2010.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2011,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2011.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2012,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2012.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report  2013,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2013.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2014,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2014.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2015,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2015.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2016,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2016.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2017,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2017.pdf,Annual Report
Backward Society Education (BASE),BASE Annual Report 2017,https://nepalbase.org/wp-content/uploads/2020/06/Annual-Report-2018.pdf,Annual Report
eBPS Tulsipur Sub-Metropolitan,eBPS Flowchart,http://ebps.tulsipurmun.gov.np/UploadFiles/Flow%20chart-TulsipurSubmetropolitanCity.pdf,Flowchart
eBPS Tulsipur Sub-Metropolitan,eBPS Brochure,http://ebps.tulsipurmun.gov.np/UploadFiles/Tulsipurebpsbrochure.pdf,Brochure
Society for Education Developmet,November Month Progress Report 2017 of SEED,https://www.seeddang.org.np/wp-content/uploads/2017/12/November-Month-Progress-Report-2017-of-SEEDAAN.pdf,Report
Society for Education Developmet,October Month Progress Report 2017 of SEED,https://www.seeddang.org.np/wp-content/uploads/2017/12/October-Month-Progress-Report-2017-of-SEED-AAN.pdf,Report
Society for Education Developmet,"Annual Progress Report of SEED, Dang 2016-2017",https://www.seeddang.org.np/wp-content/uploads/2017/12/Annual-Progress-Report-of-SEED-Dang-2016-2017.pdf,Report
Society for Education Developmet,Final Half-Yearly progress report of SEED April-Sep 2017,https://www.seeddang.org.np/wp-content/uploads/2017/12/Final-Half-Yearly-progress-report-of-SEED-April-Sep-2017.pdf,Report
Society for Education Developmet,"Flood victims Families Support Program report of SEED Nov, 2017",https://www.seeddang.org.np/wp-content/uploads/2017/12/Flood-victims-Families-Support-Program-report-of-SEED-Nov-2017.pdf,Report
Society for Education Developmet,Trimester Report Final April 2017,https://www.seeddang.org.np/wp-content/uploads/2017/12/Trimester-Report-Final-April-2017.pdf,Report
Society for Education Developmet,Annual Progress Report 2074 of SEED,https://www.seeddang.org.np/wp-content/uploads/2017/12/Annual-Progress-Report-2074-of-SEED-1.pdf,Report
Society for Education Developmet,Annual Progress Report  2019,https://www.seeddang.org.np/wp-content/uploads/2020/12/SEED_IM-Annual-Progress-Report-2019.pdf,Report
